video_id,publish_date,total_term_count,total_word_count,israel,gaza,hamas,people,israeli,know,war,think,hostages,iran,israel_relative,gaza_relative,hamas_relative,people_relative,israeli_relative,know_relative,war_relative,think_relative,hostages_relative,iran_relative
fcST76QCRp8,20240509,142,2633,49,7,14,3,13,22,16,17,0,1,18609.9506266616,2658.564375237372,5317.128750474744,1139.384732244588,4937.333839726547,8355.488036460312,6076.718571971135,6456.5134827193315,0.0,379.79491074819595
EMCrICXrN3A,20231020,35,917,8,0,8,5,2,1,5,6,0,0,8724.100327153763,0.0,8724.100327153763,5452.562704471102,2181.0250817884407,1090.5125408942204,5452.562704471102,6543.075245365321,0.0,0.0
yb5HI5aZNvo,20231109,47,936,5,8,6,7,2,8,0,3,8,0,5341.880341880342,8547.008547008549,6410.25641025641,7478.6324786324785,2136.752136752137,8547.008547008549,0.0,3205.128205128205,8547.008547008549,0.0
NM_kOaI3Nys,20240823,59,759,22,14,7,0,12,1,2,0,1,0,28985.507246376812,18445.32279314888,9222.66139657444,0.0,15810.276679841896,1317.5230566534915,2635.046113306983,0.0,1317.5230566534915,0.0
-nH9LYNAnKQ,20240307,32,724,12,7,2,2,0,2,2,2,3,0,16574.585635359115,9668.508287292818,2762.430939226519,2762.430939226519,0.0,2762.430939226519,2762.430939226519,2762.430939226519,4143.646408839779,0.0
W6MfuI04tnM,20240108,46,948,21,9,2,0,6,1,6,1,0,0,22151.898734177215,9493.67088607595,2109.7046413502107,0.0,6329.113924050633,1054.8523206751054,6329.113924050633,1054.8523206751054,0.0,0.0
tC6alA9utqg,20240319,42,649,9,5,8,0,3,1,5,2,9,0,13867.48844375963,7704.160246533128,12326.656394453004,0.0,4622.496147919877,1540.8320493066255,7704.160246533128,3081.664098613251,13867.48844375963,0.0
vUA6XrdH0Ig,20240504,67,1328,14,6,16,1,8,3,9,1,9,0,10542.168674698794,4518.0722891566265,12048.192771084337,753.0120481927711,6024.096385542169,2259.0361445783133,6777.10843373494,753.0120481927711,6777.10843373494,0.0
ygao73eup5k,20240715,39,1290,0,14,0,12,0,0,11,1,1,0,0.0,10852.713178294574,0.0,9302.32558139535,0.0,0.0,8527.131782945737,775.1937984496124,775.1937984496124,0.0
4VcIhEjQARk,20240403,4,62,2,0,0,0,2,0,0,0,0,0,32258.06451612903,0.0,0.0,0.0,32258.06451612903,0.0,0.0,0.0,0.0,0.0
SiGusU0uu3c,20231212,49,755,14,15,5,6,6,1,2,0,0,0,18543.046357615895,19867.549668874173,6622.516556291391,7947.019867549669,7947.019867549669,1324.5033112582782,2649.0066225165565,0.0,0.0,0.0
MOUFa6Kr7VM,20231011,168,3452,33,21,15,21,21,30,10,4,13,0,9559.675550405562,6083.42989571263,4345.3070683661645,6083.42989571263,6083.42989571263,8690.614136732329,2896.8713789107765,1158.7485515643104,3765.9327925840093,0.0
RVMGvEvNr_A,20240506,55,1265,15,8,5,10,6,7,3,0,1,0,11857.707509881422,6324.110671936759,3952.569169960474,7905.138339920948,4743.08300395257,5533.596837944664,2371.541501976285,0.0,790.5138339920949,0.0
q7q4ifX3g4s,20240813,26,851,4,0,0,1,0,1,0,8,0,12,4700.352526439483,0.0,0.0,1175.0881316098707,0.0,1175.0881316098707,0.0,9400.705052878966,0.0,14101.057579318449
8fk7a35sMP8,20240229,57,974,8,11,3,11,6,12,3,2,1,0,8213.552361396305,11293.634496919918,3080.082135523614,11293.634496919918,6160.164271047228,12320.328542094456,3080.082135523614,2053.3880903490763,1026.6940451745381,0.0
sllsUZSQ9Po,20240204,64,1182,10,11,6,6,4,2,8,8,9,0,8460.236886632825,9306.260575296108,5076.1421319796955,5076.1421319796955,3384.09475465313,1692.047377326565,6768.18950930626,6768.18950930626,7614.213197969543,0.0
w1ev26-7uAw,20240524,47,1646,21,2,2,4,3,1,8,5,1,0,12758.20170109356,1215.066828675577,1215.066828675577,2430.133657351154,1822.6002430133656,607.5334143377885,4860.267314702308,3037.667071688943,607.5334143377885,0.0
rMiO3DoaudU,20231023,14,586,8,0,0,0,0,1,5,0,0,0,13651.877133105801,0.0,0.0,0.0,0.0,1706.4846416382252,8532.423208191127,0.0,0.0,0.0
5wX7rtI-U2g,20240903,78,1155,33,7,5,6,15,5,2,5,0,0,28571.42857142857,6060.606060606061,4329.004329004329,5194.805194805195,12987.012987012988,4329.004329004329,1731.6017316017317,4329.004329004329,0.0,0.0
HcRbfI-BzEo,20231108,83,2051,19,3,5,18,7,25,2,4,0,0,9263.773768893223,1462.7011214041931,2437.8352023403218,8776.206728425159,3412.9692832764504,12189.17601170161,975.1340809361287,1950.2681618722575,0.0,0.0
9v_lhmFGzug,20240809,213,3540,52,20,32,7,18,44,11,8,11,10,14689.265536723164,5649.717514124294,9039.54802259887,1977.4011299435028,5084.745762711864,12429.378531073447,3107.344632768362,2259.8870056497176,3107.344632768362,2824.858757062147
OTsjNUHECyo,20231122,46,991,17,8,0,0,10,1,10,0,0,0,17154.38950554995,8072.653884964682,0.0,0.0,10090.817356205853,1009.0817356205853,10090.817356205853,0.0,0.0,0.0
ZpS3rq4htyA,20240402,94,1617,27,0,1,3,5,14,2,3,0,39,16697.588126159553,0.0,618.4291898577613,1855.287569573284,3092.1459492888066,8658.008658008657,1236.8583797155227,1855.287569573284,0.0,24118.73840445269
75P2jJsxK5E,20240707,65,1247,16,12,6,11,7,0,6,1,6,0,12830.793905372895,9623.09542902967,4811.547714514835,8821.170809943866,5613.472333600642,0.0,4811.547714514835,801.924619085806,4811.547714514835,0.0
0qcrdGLFj_4,20240703,17,360,6,4,1,1,2,2,1,0,0,0,16666.666666666668,11111.111111111111,2777.777777777778,2777.777777777778,5555.555555555556,5555.555555555556,2777.777777777778,0.0,0.0,0.0
RuAKfNWogg4,20231108,121,2215,29,10,18,3,20,7,17,4,12,1,13092.550790067718,4514.672686230248,8126.410835214447,1354.4018058690745,9029.345372460495,3160.270880361174,7674.9435665914225,1805.8690744920991,5417.607223476298,451.4672686230248
N59I35ug18o,20231126,87,1412,14,7,11,6,6,11,3,7,22,0,9915.014164305949,4957.507082152974,7790.368271954674,4249.29178470255,4249.29178470255,7790.368271954674,2124.645892351275,4957.507082152974,15580.736543909348,0.0
lFqohsr2JUE,20240816,63,1266,13,21,3,2,6,9,8,1,0,0,10268.562401263822,16587.677725118483,2369.668246445498,1579.778830963665,4739.336492890996,7109.004739336493,6319.11532385466,789.8894154818325,0.0,0.0
EzuhWgbH-MM,20231213,92,2022,20,23,13,23,7,1,3,2,0,0,9891.196834817012,11374.876360039565,6429.277942631058,11374.876360039565,3461.9188921859545,494.55984174085063,1483.679525222552,989.1196834817013,0.0,0.0
e28HUQemxro,20231228,57,1265,7,11,3,22,4,3,7,0,0,0,5533.596837944664,8695.652173913044,2371.541501976285,17391.304347826088,3162.0553359683795,2371.541501976285,5533.596837944664,0.0,0.0,0.0
