file_name,video_id,publish_date,total_word_count,Lemma_genocide,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
attacks on us military in middle east stoke fear of regional war_treetagger_output.txt,POm7qqRaNnM,20231020,1448,0,5,15,0,0,0,2,0,2,4,0,0,0,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0
before and after satellite images show destruction in gaza_treetagger_output.txt,lX1kQKDZ2NA,20231026,723,0,5,7,1,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0
benjamin netanyahu disbands israeli war cabinet_treetagger_output.txt,LRQaFxADQjg,20240617,1540,0,24,16,2,16,2,1,0,7,4,0,4,1,6,2,1,3,5,0,0,7,0,1,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0
bernie sanders rips netanyahu ahead of high-stakes speech to congress_treetagger_output.txt,T_0cXkyvTBg,20240724,1685,0,5,13,6,7,7,0,0,0,0,0,1,1,12,3,2,0,20,0,0,7,0,1,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bernie sanders us should not give netanyahu 'another nickel'_treetagger_output.txt,dszS9Nl5Cps,20240301,350,1,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biden and netanyahu to speak for the first time since 7 aid workers killed in gaza_treetagger_output.txt,X-t8H8bu6zw,20240404,1835,0,18,5,1,2,0,0,0,12,4,1,5,0,10,6,0,0,7,0,0,7,3,4,0,4,0,0,0,0,0,3,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
biden confirms 4-year-old abigail edan among hostages released_treetagger_output.txt,kBLvPKT3R6k,20231126,1341,0,7,9,6,1,12,0,0,3,0,1,1,1,1,2,0,0,2,2,2,2,0,2,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
biden downplaying hamas' october 7 attack must stop_treetagger_output.txt,DWhlNn_CPVg,20240507,1698,1,2,0,5,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,4,1,1,2,0,0,0,1,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biden hamas attack on israel is ‘an act of sheer evil’_treetagger_output.txt,lQLlo89kaco,20231010,1263,1,13,0,5,3,2,0,0,0,2,0,0,2,2,0,0,0,1,0,2,1,2,2,0,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,7,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biden hostage release 'only a start'_treetagger_output.txt,1yhU4tihI44,20231124,1632,0,7,6,12,3,11,0,0,2,0,3,2,1,3,3,0,0,4,1,4,5,1,0,0,1,0,1,1,0,4,1,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
