file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
"28 killed in israeli attacks targeting eastern, central rafah city_output.json",a9Y9PLKX_H8,20240203,584,0,1,5,0,0,0,0,0,1,2,0,2,1,0,0,6,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_output.json,,,363,0,2,6,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56 years of occupation erosion of rights under israeli military law_output.json,3w85XCClekM,20240219,407,0,6,2,0,1,0,0,0,3,5,2,5,5,0,0,0,1,0,4,1,1,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0
8 israeli soldiers killed in southern gaza ambush; deadliest day in months_output.json,K8AdlUpU9H8,20240615,540,0,5,1,2,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
a bleak christmas in gaza christian community in danger of disappearing_output.json,1STnISnIA4k,20231225,289,0,1,3,0,3,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a brother's final obligation the last journey of hasan_output.json,eR8ycqOwl7s,20240313,204,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a deal has been reached in israel to form a unity government as bombardment of gaza continues_output.json,f2u_1lkRJq0,20231011,677,0,1,1,0,4,0,0,0,3,0,2,0,6,0,0,0,8,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
a family ignites a tale of generosity with free bread distribution initiative in rafah_output.json,PybqM1o1X9A,20240125,273,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a few remaining 'critical issues' relate to how some aspects of deal would be implemented blinken_output.json,WxOemoaypl0,20240906,807,0,10,5,0,1,0,0,2,2,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
a funeral has taken place in al mawasi for civilians killed in israel's bombardment_output.json,,,322,0,1,2,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a general strike in the occupied west bank is being observed in protest of israel's war on gaza_output.json,XU4KaA9FFYc,20231101,411,0,1,1,0,1,0,0,0,0,3,1,3,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a glimpse into the al-arouri family's longstanding expectation of his assassination_output.json,xWo6Xq4Wdvg,20240103,864,0,3,0,0,1,0,0,0,0,3,0,3,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a look back at gaza’s cycle of violence over the past 12 years_output.json,2DOnvD5AOGc,20231107,600,1,6,11,1,2,0,0,0,0,0,0,1,5,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
a military offensive on rafah will be ‘catastrophe upon catastrophe’ unicef spokesperson_output.json,hduDRUIZQtI,20240506,1183,0,0,9,0,3,0,0,1,1,0,0,0,0,1,0,4,0,6,15,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a mother's farewell marwa abu zayda lost twin boys and her leg_output.json,Z4wGKgv2eZg,20240716,480,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a night of intense bombardments across gaza strip_output.json,dXkI4O_9Fjs,20231019,522,0,1,13,0,0,0,0,5,0,0,2,0,2,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,1,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a phased deal for gaza could work, but no israeli leadership commitment, says expert_output.json",2aR_4LwZ0yY,20240710,1253,0,8,3,4,2,0,0,0,1,1,2,1,16,1,4,0,5,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
