file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
lebanese militant groups and israel exchange fire across border_output.json,wG8UShiEHYo,20231019,1033,0,8,1,2,6,1,0,0,4,0,0,0,5,0,0,0,0,0,0,1,2,0,9,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
man with loved ones in gaza shares heartbreaking reality behind family photo_output.json,Ejbl4AKhlj8,20231110,950,1,1,5,0,2,0,0,1,0,0,0,2,2,1,0,0,0,2,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mike pence reacts to new polling about gop views of jan_output.json,,,2090,0,10,4,6,2,0,0,0,2,0,1,1,1,0,0,0,2,1,0,0,4,1,0,4,1,8,0,0,0,0,1,4,0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
military analyst breaks down israeli evidence in gaza hospital blast_output.json,THV_OuzC9jM,20231019,1958,0,9,6,7,3,1,0,0,1,2,0,3,3,0,0,0,0,8,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
military analyst explosions may represent beginning of troop movement into gaza strip_output.json,wkep4n5zhA0,20231028,948,0,0,10,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
military analyst hamas is losing the second phase of their plan already_output.json,2FHmHpe2P6o,20231015,1020,0,7,6,11,2,5,0,0,1,1,6,1,1,1,0,0,0,0,0,0,2,0,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
military analyst on what can and can't happen during pause in gaza fighting_output.json,lQ_Ex8gxt-k,20231122,1261,0,13,7,12,2,0,0,0,4,0,0,0,6,3,1,0,4,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
military expert shows on map where israeli forces will face challenges in gaza_output.json,Cy6vewZo3jY,20231010,1059,0,12,6,5,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mothers reunite with newborn babies evacuated from a gaza hospital_output.json,1pu4xNukFz8,20231207,645,0,1,5,2,3,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multiple explosions in rafah after evacuation orders_output.json,,,555,0,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"naked, handcuffed and blindfolded palestinian poet details time in israeli custody_output.json",Nju_fp_bCso,20231228,2147,0,8,18,11,5,0,0,0,0,4,0,6,9,0,0,1,0,0,10,0,2,7,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"nearly half of israeli munitions dropped on gaza are ‘dumb bombs,’ us intelligence finds_output.json",v7xeZNcABHQ,20231214,1365,0,15,8,9,5,0,0,0,1,0,9,0,11,0,0,0,1,0,0,6,1,0,0,9,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
netanyahu adviser civilian casualty numbers from gaza should be taken 'with grain of salt'_output.json,QWYcX3zRbvg,20231016,1264,0,5,12,17,1,0,0,0,4,0,4,2,5,0,0,0,7,1,1,2,3,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
netanyahu shares 3 things to understand about the war_output.json,dBaQhSrsDYI,20231112,4420,0,16,11,25,7,0,0,1,1,1,2,7,5,2,0,0,3,15,8,3,5,6,0,18,0,8,2,0,2,0,5,0,0,0,0,0,0,1,0,3,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0
netanyahu unveils plan for gaza’s future post-hamas_output.json,4bk68dV3rB8,20240223,1432,1,16,17,2,2,0,0,0,1,2,2,11,4,1,1,0,4,0,1,5,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,2,0,0,0,0,0
netanyahu's spokesperson says israel is defining 'gold standard of urban warfare' in gaza_output.json,zvhhevXbrZc,20231213,1577,0,13,6,11,4,0,0,1,6,0,2,5,3,0,0,0,6,0,0,5,0,3,0,11,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0,8,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
new idf video appears to show hamas attempting to enter israel by sea_output.json,dPKox2abTik,20231026,515,0,3,3,4,0,0,0,0,1,0,2,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nova music festival survivor reunites with man who saved her_output.json,jvqKs9TRKoE,20231221,844,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
nyt reporter says israel knew hamas's attack plan over a year ago_output.json,vu4Txxw9bOo,20231201,1847,0,11,3,24,5,1,0,0,6,0,0,1,18,0,0,0,8,0,0,4,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"one day, israeli strikes will go 'too far,' expert tells amanpour_output.json",driPTM5SqUU,20240112,1823,0,10,1,5,10,6,0,0,0,4,6,6,5,1,0,0,0,0,0,4,3,0,12,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
palestinian american mourns 42 family members killed in a single day in gaza_output.json,4v6k0bINc34,20231104,643,0,2,5,2,0,0,0,0,0,4,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
palestinian men and boys describe abuse during detention by israeli forces_output.json,T8hM29eU2Gc,20231216,726,0,1,4,5,0,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
